word,frequency
sklop,27
prepoznuti,6
opredeti,14
drug,5
otmemo,2
presvučeti,1
neprincipijelnost,1
populacija,32
angažman,7
anina,1
zagrebati,3
transparentno,21
muškarac,37
respekt,6
reti,13
sretiti,6
sadržan,27
mirjana,3
dragaš,1
vrhunski,32
sociolog,5
bogami,9
sluh,19
smetnja,18
napisan,10
sestram,5
tehničar,19
neza,4
macura,33
neravnopravan,10
autoritet,42
ljuta,1
zvaničnik,19
izolan,3
rani,4
nađet,5
kuponiti,2
dugoročno,15
prećuti,2
spočitati,5
hajtiti,6
euforija,3
merenje,5
konstitutivan,11
tematski,11
suptilan,2
zarez,14
tragati,2
traganje,10
staz,31
staza,7
dobrota,4
cara,5
lazara,8
pogrešiti,54
ispadostiti,1
filozof,15
karakter,33
savski,26
venac,19
30%.,2
areni,7
srca,4
komba,3
personalizovati,2
fiktivan,16
adresa,73
stanić,1
bubanj,2
načelnica,2
dragomir,1
topisirević,1
vranje,22
dovoziti,7
vranja,28
gospod,29
zaštićen,35
dužiti,18
logoreičan,1
bezveza,4
stojković,8
balkanski,16
inteligentan,5
izgovorit,1
stojan,12
prijati,10
ophođenje,3
izmišiti,9
pravcati,2
odbornik,50
prekizati,30
principijelan,12
licemer,16
baraba,4
privikavati,1
zagrejati,3
temperatura,18
odustajeti,5
bedni,1
rasturio,1
bednik,3
jaslica,2
svrstati,12
pismen,7
potkovati,4
održavanje,86
nemušt,3
održiti,5
holidej,5
neradan,7
povezati,77
starac,4
fočo,2
ljeta,1
vlaldete,1
izvaliti,1
cenzus,14
blokiranje,2
upadneti,5
mujo,2
tepsija,3
pljuj,2
borči,2
obrenovac,31
lazarevac,22
vedeta,1
tržni,9
stenobeleški,4
obići,31
astronaut,1
manekiti,3
notirati,3
izvaditi,18
novčanik,16
vesićev,5
novčanika,8
prijatan,6
stenobeleška,1
sinišu,19
držiš,1
smestiti,20
izađiti,19
ormar,3
zdušno,9
aplauz,18
natalija,37
stojmenović,34
kadrovski,32
onačan,4
gospođati,5
primetan,5
finansije,284
milionski,5
vind,2
istaknuti,2
uplaćivati,17
penzion,4
osiguranje,71
sloj,6
proslediti,13
vranjski,1
obilaska,2
zloupotrebljanje,1
značmjano,1
krov,21
kirija,8
renoviranje,8
sedeći,6
900.000,5
uvideti,4
odvajati,14
stanovati,4
izgledan,2
cenuti,17
založiti,6
članski,10
onkološki,27
prezivati,7
poljski,2
multinacionalan,18
pljujeti,6
pitazati,33
zapošljavati,33
poslovati,31
berza,10
korumpiran,32
majkrosoft,1
vinda,1
kragujevco,76
kruševac,54
naučno-istraživački,6
sfrj,19
stostruko,2
brnabić.,11
pristupnica,7
crte,4
ciljano,3
sedel,10
pamt,8
poezija,2
klovnova,2
plačiti,8
zvučiti,31
smeh,6
prešišati,2
alal,4
specijalitet,1
uslikati,2
brzi,21
fantastika,2
lomit,1
smeto,5
zdravković,13
lečeti,10
monstruozni,2
bolesan,32
prezati,5
saznanje,27
bežanijski,5
biću,11
stipendist,4
mnogobrojan,11
proširen,15
doktorka,3
sitnica,6
zacrtan,7
prijavati,21
hodati,6
stigmatizovati,1
vrhunac,25
stida,12
obolelo,2
kancer,12
miting,30
terapija,23
dovelan,2
popravak,4
državotvornost,5
odlazak,27
adolfa,1
hitlera,2
državotvorni,6
zlatibor,30
lončar,37
sveto,16
ičega,5
zračenje,9
selektivan,11
povuciti,9
izračunati,25
šikanirati,4
balansa,2
stoti,2
lončara,28
nežan,7
mangupa,5
lažljiv,3
pauzaz,46
pričaztiti,14
isključiti,50
staratelj,4
debatovati,11
siđiti,19
kokain,6
vojsak,49
gaviti,5
konstantno,63
izvinuti,2
poznan,17
buniti,49
marnik,1
probisvet,1
hoštapler,1
licemerje,63
grliti,2
jelenu,6
dugujeti,1
isplatiti,102
domaćinstvo,70
kragujevac,81
jekić,33
belosvetski,12
nemoralist,1
isteklo,22
đukić-dejanović,4
stid,13
armija,17
razrešen,1
info,1
vranjska,1
stoimenović,4
politikološkinja,1
palilula,4
mirković,29
teorija,41
bestidno,1
ostvaren,14
nadomestiti,8
senka,15
prekrojiti,2
zasesti,1
pero,8
vređat,1
destrukcija,13
navešća,7
bauljati,3
hodnik,11
sancija,1
saborka,7
svojevrstan,7
festival,2
antisrpstvo,1
takmiča,2
saborac,4
koncentracioni,2
predaja,6
vrbas,12
ispita,17
narak,15
dilera,4
iseti,4
odbornički,9
najgor,6
bigo,3
drastičan,9
tomašavić,1
usijanje,4
proganjan,3
normalnost,13
oličen,6
učestvovanje,5
eskalacija,11
pogrdan,6
uličarski,4
tridesetak,6
tobož,26
preliti,6
monarhist,4
ustaš,19
zagledati,3
izdajnič,1
sporiti,16
rova,2
dotičan,13
krajina,19
pušak,8
genocida,28
prouzrokovan,1
klanjati,9
cvet,7
majki,2
izetbegović,3
bakir,1
linčivati,4
linčovati,3
poklonjenje,4
ljubitelj,8
vašingtonski,2
kontramiting,7
stanovništvo,151
nagovoriti,4
marku,5
šokiran,3
nevaspitanje,14
izručenje,4
ratka,33
mladić,14
zakasniti,12
nastava,51
dežurstvo,4
odseći,7
marak,4
dočeći,1
pojeti,9
buket,1
cveće,10
citati,5
inostran,27
literatura,4
tliti,5
internet,42
margaret,2
tačer,2
smejtiti,13
bombardivati,1
franje,4
tuđman,3
diskutanti,1
pretposlednji,4
otpremiti,1
karađorđ,4
dajana,4
džonston,4
dajanu,2
slavlje,2
graničiti,6
pijanstvo,3
jagma,2
stampedo,2
nestručan,23
gramziv,3
bahati,13
uobražen,3
samoproglašen,8
ekspert,109
polu-svet,1
kalibar,5
profilo,11
revolucionaran,6
pobednika,4
talca,5
plen,6
sulud,6
krstaš,1
bolovanje,22
sigurnost,131
švercovati,4
zdravstveni,21
profesorica,3
institucionalno,13
složan,16
pomageti,12
opstatiti,4
dola,11
željko,52
prepunati,1
neznalica,26
preživeti,43
metodologija,20
računica,21
pelena,4
mobingivati,3
sindikalan,18
organizovanje,17
udruživanje,8
fakat,2
fikus,5
lezbejki,1
podmući,1
trilateralan,1
naleda,1
narkomančin,1
prediti,1
premijerko,1
poželeti,9
mitrović,135
zadruzi,2
ključ,15
afroamerikanac,1
ovozemaljski,1
profil,11
junaštvo,6
izvinjenje,48
savetnik,33
mihail,2
pupina,4
mizerija,4
preoštre,1
provokacija,6
gnusan,4
goatija,1
decionista,1
ogoljen,3
vazi,9
bečeju,4
2012,6
lepo.,4
stiziti,6
fetiš,1
pocrven,5
pametno,6
priključiti,39
posrbljivati,1
dinka,10
sarajevo,66
bošnjački,56
koketirati,1
zagrebački,2
kuhinje,3
mrtav,8
hladan,9
elokventan,3
naučno,13
manje,7
glasajte,8
pokušajte,11
kvadratura,2
površina,78
svemir,1
nacist,1
čovečanstvo,14
jevrej,4
početkom,66
garavica,1
retroaktivno,10
izmati,1
pričao,20
uvučeti,4
samoproglašenje,7
izvintiti,1
odande,1
nastupiti,24
2005.,35
prikolica,2
dođiti,26
jelić,24
igora,4
mandatiti,1
lopino,2
pričasti,19
lopužo,5
novosadski,27
konkurencija,34
umukni,1
ober,1
nadalje,24
pozovesti,1
pobledeti,1
navijač,11
pobeleti,1
osokoliti,1
istražni,60
bitango,2
ukažrti,7
titula,11
korektnost,6
vaspitanje,93
duplirati,7
neargument,1
lavina,7
smanjivati,52
104.,57
relativno,34
suviše,16
pridržavati,24
jugoslovenski,9
rasturanje,2
francusa,1
evropljanin,5
puštati,36
oficira,12
iteti,6
zagorko,14
smirenje,4
uporni,5
optimizam,14
juritati,1
ekstremista,14
aktuelan,76
dosrbljavanje,2
slaviti,30
1974.,3
susedan,29
lamentirati,2
tobožnji,8
sudbina,51
glorifikovanje,1
odigrati,13
zastupnik,12
ante,11
prkačina,1
osumnjičen,10
trajanje,38
blaćenje,6
demonizacija,4
svetosavlje,1
benigan,1
pojava,37
privoditi,36
austrijski,9
praktikovati,4
superlativ,4
sanu,83
sevdah,1
suprotnost,29
neodmeren,3
pohvala,23
brnabićka,3
posprdati,1
kuditi,2
kompetencija,15
umeriti,4
odmeriti,4
smeran,1
razložan,1
razborit,1
isključivost,3
ulični,9
govnar,3
podguzan,6
muva,8
gesto,1
distanac,3
blagonaklon,3
ponaosob,8
asocijacija,9
specijalan,46
maestralno,2
ratko,35
tankosić,1
sarma,10
rafiniranost,1
nijansiranost,1
kompetentno,1
jezički,13
patrola,6
bačka,7
provera,35
šovinizam,2
damir,5
zobenica,2
operativno,4
diler,15
kovačević,51
goranac,8
instrukcija,16
marko,76
bosanac,23
boska,4
obesmišljavanje,2
napokon,26
pomoćnica,4
krendal,1
prekršen,6
dvoumiti,1
promukao,1
glaz,6
promući,2
nasrtati,5
bojović,8
solunac,3
soluna,3
borovica,2
građevina,23
tačovati,1
inkasirati,6
instruisati,6
lomiti,8
sklanjam,1
odričiti,7
kuknjava,2
čestit,30
zvonko,21
spomeniti,20
narko-diler,9
sedite,1
folklora,2
struk.,1
budžetski,119
marksizam,3
plakati,6
progoniti,10
nevino,2
kupujeti,1
borislava,1
pitajta,10
gazditi,5
levo,14
promuknuti,1
tonalitet,1
razboritost,5
vrištanje,4
obračuna,15
sirov,8
psujati,8
mater,5
nemoj,13
sočno,1
aluzija,1
otupeo,1
zapeti,4
zapniti,2
superlativa,1
omaći,2
vikanje,4
seansa,1
pudlica,12
duhovitost,4
bagujeti,1
bagovati,2
povediti,3
pružati,71
ustaći,3
engleska,9
spiker,6
model,49
gordani,1
čomić,3
obiti,8
rubin,8
maskot,1
nalepnica,1
obilaziti,32
korhec,1
zapasti,23
proveravati,17
dopisati,3
citirajta,1
ugleda,19
troje,44
rančev,1
patrol,2
naplaćivati,24
predstavništvo,8
sankcionisan,13
šovinistički,2
ogavni,1
nenasilje,5
marksista,3
zvonar,1
notr,3
kvazimodo,1
fester,1
adams,1
buna,8
bezobrazluk,9
popust,1
psihički,8
zabrljati,1
liše,1
kopkati,1
umišljati,4
vapiti,4
kvazimod,1
ličita,1
cenjen,8
uvući,5
fašistički,5
infrastruktura,366
veroljub,43
arsić,66
neprestano,13
šešelj,21
svršen,3
diplomirati,8
nazadovati,3
studentski,126
polozati,5
ispit,41
započneti,17
demonstrativno,1
priti,3
zaratiti,4
parče,8
pleha,1
prekriti,6
ustaštvo,1
šiptari,3
ortak,3
šolak,12
86.400,1
pomnožiti,6
bogat,98
spomeneti,11
provući,4
toplog,7
zeca,9
drzak,2
koridor,106
tunel,30
auto-put,89
550.000,2
prokockati,1
izgrađivati,8
auto-puteva,30
nataši,7
prekoputi,3
višedecenijski,11
kmetski,1
mentalitet,2
srelati,2
neuobičajen,5
dodvornički,1
dodvoriti,10
šenah,1
izdignuti,2
epohalan,8
otimačina,8
dosovski,1
modernizovati,13
pokretač,11
dejt,1
univerzitetski,35
reprezenti,3
kamen-temeljac,1
distrikta,4
uposliti,9
orakla,2
odrastati,7
nezamisliv,21
dopiti,4
neangažovan,1
umov,5
negativno,26
ostrašćenost,11
destruktivan,14
tikar,2
skroman,21
argumentovano,7
supremacija,1
podučiti,5
neuka,2
ponovljen,4
komparacija,3
herojski,3
parafrazirati,9
kralj,43
petra,6
karađorđević,9
osvetliti,2
potpisivanje,39
bukureštanski,1
podanika,4
olovka,6
uskliknovati,1
oslobodilac,8
1913.,1
diktata,3
smetlište,17
osvrn,81
materijal,55
pohvati,3
vold,1
majnd,1
čelan,4
paravojni,8
formacija,10
iskopavanje,140
žaba,8
prosipanje,2
biser,7
svinje,7
neprimernost,1
jeleni,11
128.,3
istek,19
konstatovanje,3
izglasavanje,8
nepoverenje,11
pete,16
gimnazija,31
školovanje,27
northwood,1
mičigen,6
izdvojen,10
usaid,23
navođenje,1
continental,1
wind,1
zaticati,3
ograditi,23
ruande,1
azerbejdžan,22
kazahstana,2
indija,7
malezija,1
nerazvijen,39
aktivno,60
save,27
svrstan,4
marketing,6
ogoditi,3
korporacija,8
fascinantan,12
trošiti,74
ujutro,2
isprazniti,4
flaša,14
izašati,50
napolje,21
beležnica,4
miran,55
kozma,42
damjana,1
diskvalifikacija,4
ravnopravni,3
vlasan,1
prethnodan,1
dugi,14
letiti,12
zmaj,3
tijana,60
perić,56
diligenski,48
jačati,67
evroparlamentarac,3
bogamiti,10
filmski,12
posreda,1
nesvestan,2
scenarist,2
kritičar,9
kamerman,1
kodan,2
trećerazredan,2
politčki,6
inspirativan,8
sadržaj,64
nadrealista,1
skorašnji,2
sećanje,41
milunku,2
savić,6
doco,1
evet,1
efendija,2
klimnući,1
prečica,3
simpatičan,14
sramežljivo,1
liberalka,1
smokviti,1
gajenje,2
sentiment,5
neoradikalka,1
pozavideti,2
suma,15
sumarum,4
razvaliti,16
neslavan,1
naponski,1
prevashodni,6
udisati,10
impresivan,16
mladost,38
polet,1
nebitno,12
degradirajući,1
neuspeo,3
besedništvo,2
debitantski,1
cereka,1
podrivati,7
oficiram,3
namestiti,8
količina,119
laptop,3
brifovati,1
opametiti,2
zavući,1
rupa,19
torbičak,1
prišljamčiti,4
svit,2
pije,6
kafa,14
sastajati,15
kninski,1
dezertirati,2
neprijatelje,4
molita,6
suspendovati,13
izgurati,4
prijatiti,1
pružen,9
obavezujući,8
zdravak,4
upoznavanje,3
usprotiviti,5
profunkcionisan,1
valjatiti,2
raskrinkati,4
smeniti,31
poverovati,22
prisluškivati,9
vrha,11
autoprojekcija,3
vojno-obaveštajan,1
vojno-bezbednosno,2
mrković,1
bečić,8
mrdić,24
parlamentarac,7
2024.,428
izdavati,42
bositi,1
marjane,3
oprema,125
namenski,39
pobegneti,10
dirljiv,3
fasciniran,1
grošelj,1
juratović,8
rimovati,2
badav,2
v7-0021,1
usvojen,15
januar,175
koncentracija,17
vlasnički,7
osiromašen,5
ponižen,5
masan,2
kulturno-obrazovni,2
podrediti,13
šefovski,1
ironija,5
putnik,55
zdanje,14
17.12.2023.,1
neuporedivo,19
odlaziti,102
pljati,3
parlametarce,1
pljuvanje,2
razonoda,3
raspirivanje,1
napetost,1
oznaći,6
uzročnik,2
lobirati,13
prekidanje,6
prestanak,16
atak,6
poljoprivrednik,139
sedamnaesti,4
maja,9
stravičan,11
mrtvi,22
predpristupni,5
municija,17
mačka,2
okačiti,8
prekinati,12
tortura,8
mački,1
tatjana,114
proleća,6
sunce,5
nastupajući,2
prevencija,25
dojka,9
prijateljica,3
kuma,8
preventivan,32
pregled,83
ginekološki,6
banalan,5
redovati,4
ultrazvučni,3
dojki,1
mamograf,3
pomalo,18
zaplitati,1
političarka,2
nipodaštavati,4
nevešti,1
kafe-kuvarik,1
čistačik,1
non–stop,1
dijagnoza,7
raspolageti,2
zabuna,14
pomirljiv,4
dugogodišnji,21
relacija,17
cipela,15
komplikovan,15
prethoditi,17
nezavidan,2
orijentacija,13
društveno,10
godišnjik,1
specifično,2
traga,6
oglas,2
izvrćiti,3
akle,1
prognoz,2
nealbanski,5
4.000,15
raseliti,20
manastir,13
oskrnaviti,3
spaljen,2
unistiti,62
dešavanje,33
dragiša,1
mijačić,1
konvent,2
zadužen,10
troći,15
razmera,8
muftija,5
islamski,13
mustaf,1
jusufspahić,1
zabositi,3
đavol,8
bodriti,1
božija,5
paliti,55
osvrniti,6
razmirica,5
pomno,3
orijentisati,9
sramotno,3
vukljanje,1
rukava,2
specifičan,31
nestranački,5
istraza,3
održavati,82
mozgalica,1
proizvesti,60
nepravedan,6
menjanje,4
posredovanje,5
koloseka,2
evroparlamentar,1
nevešta,2
teatralno,2
dobronameran,7
dunetan,2
drhtiti,3
sprečavanje,85
majski,6
razdvajati,9
uzrast,9
besprizoran,4
lošiji,9
potrestati,1
spektar,8
akcenat,17
školski,93
zacementirati,3
pouk,2
retrospektiva,3
takozvani,22
problematičan,30
osac,1
danilo,8
ćurćić,1
jukom,1
moment,6
efikasnost,46
obuhvat,4
premiti,1
imidaž,1
invaliditet,28
uskratiti,40
pojašnjavati,1
upotpuniti,4
neformalan,9
gorući,13
imunizacija,1
akušerski,8
daći,2
opaska,5
opasak,8
maje,2
lapsusa,2
sadržajno,3
milija,34
miletić,65
naslediti,32
pospešiti,4
inicirati,23
svrljig,23
bela,19
palanka,26
babušnica,8
hram,26
glasan,22
tiho,4
dijalekt,1
padeža,4
jugoistok,20
jugoistoka,6
robert,39
permutovati,1
knjižica,15
izvrćati,2
promotivan,4
spot,5
neodbranjivo,1
funkcionerski,10
prekrajati,5
brisati,99
kucati,12
stanar,9
pretvaranje,9
nejednakost,24
nepriuštiv,1
stanovanje,17
samostalno,31
iznati,2
nekretnina,68
taksimetar,3
1.000,28
kadrog,1
kadrih,1
izglasavati,2
zvonac,6
srozavati,1
ramena,8
blag,9
mešanje,5
zavesti,12
aman,8
uzdržati,761
omalovagati,3
poredak,51
znaka,21
navod,24
omalovažiti,4
izlobirati,2
dogovarati,32
dragutin,2
milanovac,15
pretući,9
sugrađanina,1
izvršilac,10
promet,30
eksplozivan,10
materija,26
naselje,42
bečlija,1
revizija,48
nadgledati,8
uklaviriti,1
leks,12
specijaliti,4
marks,4
marksa,1
trčiti,8
obavezan,94
kugal,5
sandić,21
podleći,6
mašinerija,13
mitros,1
berlinger,1
berteks,1
turski,6
geoks,2
obuća,3
vranj,28
1.200,10
jurin,1
nedogled,11
"93,5%",2
zapostaviti,19
elektroprivreda,33
grčić,16
koncepcija,10
osnovni,51
namirnica,14
kole,8
osiromašiti,4
prolećan,4
setva,14
desetogodišnji,6
goved,1
"18,2%",1
"12,1%",4
koza,9
egzaktan,18
navodnjavati,10
klimatski,39
pređetiti,5
pinko,14
kafana,13
prepuna,6
inteligencija,96
rezerava,54
završetak,88
plandište,1
snabdevanje,78
pijaća,24
vodovod,13
dugoročan,51
flaširan,3
penje,1
sprat,12
vezano,6
provlačiti,2
salvati,1
debeo,4
učiteljica,10
pažljiv,20
izjavljivati,10
dovče,3
isečak,1
novine,19
klimati,7
debelo,6
tuki,15
osuđivati,40
divljaštvo,4
prijavljivati,30
loznica,195
valjevo,75
čusmiti,2
novootvoren,1
pedeset,8
vesti,4
pipneti,1
tukli,3
trojica,10
vuvuzel,11
obračunati,14
braći,7
mazrek,2
sramno,6
šaljeti,3
trpati,11
unovčiti,6
kancelar,14
ostaće,7
zucneti,1
obediti,1
vasolo,8
nagoditi,2
izbegneti,1
sponzor,21
španija,30
grčka,19
slovačka,11
kipar,12
isporučiti,14
haški,17
tribunal,15
pumpa,10
osijek,1
merljiv,4
rasčistiti,1
olako,10
lepiti,5
etiketa,4
naređivati,5
stupati,22
prekrstiti,3
saberiti,10
smokvin,3
znak,23
"1,5%",9
sinod,2
umemoti,4
besmislica,14
sijaset,3
recikliran,8
zamerak,6
navikneti,5
gostovanje,9
džak,3
udaranje,3
održan,6
kutak,3
opanjkavati,1
kamenje,5
viole,2
plašt,2
zobar,4
uporno,57
generisati,14
tobože,10
toboziti,12
konzervativac,4
nacionalist,3
razleran,2
apsurda,6
patriota,2
borak,8
zaštitnik,18
toboža,6
tradicionalan,57
momentalno,7
konzervativca,1
ravnogorac,2
levoliberalan,1
spojiti,22
garant,54
radovanović,130
poistoveći,3
okoreti,1
poturati,5
džuboks,16
tajnost,12
obavesti,7
potvrđivanje,209
uklanjanje,8
železnički,91
savi,7
penala,13
traziti,9
dokumentacija,70
hvalisanje,1
usavršiti,5
dići,8
poklon,18
jarati,3
raznorazni,16
grafikon,12
stubiti,1
upamtiti,18
prisluškivan,3
prisluškivanje,3
vešto,4
neveštost,1
relaksirati,8
tvoriti,2
mašina,43
izopšten,2
nebrojeno,5
bolan,11
fatalnost,1
prebrojavanje,4
krvan,18
zrnaca,2
perverzan,1
ukrštanje,1
šešeljevski,1
miloševićevski,1
doktrina,3
žrtvovanje,6
suprotstavljati,6
sledbenik,23
pojačan,8
gazimestan,5
zakazal,2
vaskršnji,3
pretenciozno,1
pretenciozan,4
trpatiti,6
kličati,1
vitomanija,1
parro,4
zakazivati,14
zadesiti,23
komemoracija,2
preklopiti,1
vašar,6
umetiti,27
lazar,10
obilić,1
beskonačan,4
mahanje,2
skrinšotov,1
šefica,11
prevazilaženje,12
kopanje,74
glupa,10
nedoraslo,1
poznakrat,1
traf,5
produženje,13
18.00,22
akta,46
ispoštovati,40
frapirati,1
petar,12
temelja,33
nemir,15
divljenje,3
osnova,117
tekovina,13
jeres,2
direktiva,23
moćnica,4
edukivati,7
dotakan,2
nekompatilalan,1
lutanje,4
neslaganje,9
dostojevski,3
sredinom,12
arnoa,1
arčibald,3
rajs,2
putin,13
staziti,1
dogurati,6
izbledeći,1
despot,2
lazarević,5
knez,13
sunarodnik,60
idolopoklonstvo,2
utemeljenje,17
nepopravljivi,1
sedamsto,1
2.500,7
oforati,1
besramni,6
malski,5
prasiti,4
makaren,1
tuga,5
anketan,18
anketni,2
zgaditi,1
tapija,7
obraza,3
hiljadu-dva,1
isprljati,2
ujdurma,1
odobra,1
odbijati,32
razočarati,17
dopreti,3
sendvičar,9
stoka,10
krezuba,5
zver,1
oktroisati,1
specijalis,7
brujati,3
proučavati,4
fenomenologija,2
izmišljanje,5
proučavanje,4
šaip,15
kamberi,14
poslušno,1
izvršavati,8
naređenje,7
resor,88
zgaziti,5
mahinacija,10
obesmisliti,11
učestovati,3
nastupa,30
neragularnost,1
nazovati,6
bogdan,42
požego,3
načelo,266
decentralizacija,10
snažno,24
prizam,2
događanje,6
požeg,21
paradigam,2
lakmus,1
enorman,20
inženjering,18
"31,5%",2
sekund,25
neizostavan,4
bogougodan,3
dočeka,1
bard,1
prošlo.,2
uređivački,10
privatizovati,20
striktno,16
pokrivenost,17
nasilja,2
stane,1
parandilović,132
cajtnot,4
mafijo,4
bratov,2
rasti,93
metnuo,2
ispirati,18
konzerva,2
smrad,2
lobotomija,10
trpat,1
transportovati,5
čestitanje,1
biranje,5
pogneti,1
unuka,6
stideti,7
pozan,7
određujesti,1
podo,5
opomena,193
odatliti,14
mediokritet,8
portparol,15
uskaziti,1
prostački,1
nevaspitan,10
ravan,14
trunka,5
dopati,9
bitange,5
neotesan,1
grozan,4
odvratno,1
priboju,24
pijada,1
beorad,1
aleks,6
jokić,5
sirot,4
kučiti,1
ujeda,1
ispiranje,4
bezbedan,89
kraljica,2
topa,11
figura,7
skakač,2
amblem,1
logo,4
sirom,1
mihajlov,6
poverilac,6
opomenuti,18
pohvatiti,19
stranica,22
faktografski,2
sedmogodišnji,2
nedela,3
nepočinstvo,6
saučesništvo,2
zgrtati,1
umnožavati,4
starešina,13
direktorski,3
nateran,6
borda,2
koruptivan,47
izlistati,1
svečano,2
počev,28
dobrotvoran,5
oteta,2
opljačkan,6
upleti,5
preseljenje,8
grocka,5
kaluđericu,1
mahal,2
posed,10
višemilionski,2
auditorijum,2
sačiniti,8
speriti,1
komesar,9
preseljavati,6
koliko-toliko,9
overavati,1
biro,4
bivati,16
supružnik,7
kaluđerika,1
antidatiranje,3
izdavanje,39
doveziti,1
organizator,16
naličje,2
primitivizam,8
džiberluk,1
karakterisati,9
potravati,1
udeo,44
kapo,3
tuti,3
kapa,15
poreći,6
upisivanje,2
locirati,9
neslobodno,1
neslobod,3
stečiti,2
obradovati,12
stanković,147
rokvić,77
nastasje,3
baković,6
iscrpiti,4
naknadno,7
zaključivanje,20
drugarica,18
drugov,20
zatekna,1
ujesti,1
otrovni,1
rigorozan,6
adekvatno,20
realno,41
jezivo,2
odreagujati,6
polaganje,34
zakletva,42
propisati,78
logički,12
spakovan,1
zgodan,3
primereno,1
desno,7
toalet,13
toaleta,12
rugli,2
preostao,41
uspes,10
garnitura,9
tizan,6
prokomentarisati,10
prikriti,7
pseudonim,1
harmonikaš,1
riđobraditi,1
gusar,2
nevidljiv,21
benito,1
radenski,1
srculenca,1
aidi,1
leglati,1
aida,2
izreketiran,1
zlotvor,1
ponavljanje,11
suluda,7
glupiti,9
ravnopravan,26
luksemburški,5
kovin,2
kolono,2
okom,2
klinac,5
golića,1
optužit,1
1950.,2
valjevski,4
sreza,1
premestiti,9
okrug,24
umisliti,7
faca,1
žvaćeti,1
espres,1
tvitujeti,1
smešni,1
narući,1
okreniti,3
upristojati,4
glupiranje,1
hajmo,30
gubljenje,8
izazivanje,11
ostatak,26
pojedinačan,37
ovime,1
prikazivati,36
fejsbuka,2
oduzmeti,8
oebs,19
puštanje,4
muzika,14
puštanja,6
konstantan,27
pozivanje,14
stremiti,5
tužilac,43
javnotužilački,2
svršiti,3
predočiti,14
ujedno,37
amerikancac,7
lokacija,67
staklen,11
iluzija,13
poginuti,50
raniti,13
peticija,8
memorijalan,9
svojina,31
idejni,9
profit,84
ekskluzivan,7
džaba,11
arapski,64
tužilački,4
istražiti,9
nepokornost,1
agresor,11
oplakivtati,1
prkos,2
sagledavati,15
planiran,110
černi,6
magistralan,11
neiscrpan,1
izvorište,10
prerada,102
opredeliti,81
jaroslav,6
aktivirati,9
ispitivanje,12
ispitati,40
eksproprijacija,52
bušotina,24
distribuirati,5
masivan,6
promašen,7
prerađivati,14
jezgar,3
zaostatak,2
odložiti,20
opredeljivati,25
namena,85
đorđu,4
jahanje,4
razlo,1
olositi,1
analan,1
fekalan,5
danajac,1
nepošten,7
nadzoran,23
regularnost,2
efektivan,10
iritirati,4
sumnjiv,10
nacifikacija,1
koristića,5
telekoma,3
meklaren,3
voza,7
lamboržinono,1
šapući,1
hodnika,9
beščasan,1
prinadležnost,3
g-17,2
zadužujati,89
ideolog,8
altruiza,2
čizt,6
ideološki,25
čvrst,65
kalanović,3
tast,9
familijaran,1
lažeta,23
hodnica,1
paluba,1
pocepati,11
eventualno,41
postojiti,8
neispravan,5
prevoz,42
desilo,5
petarda,3
balkon,15
subordinacija,2
potčinjen,4
izvršenje,25
greha,3
saosećanje,5
pravdanje,4
skandalozan,25
smrtan,6
poginiti,5
jonić,27
večeras,17
legleti,3
beznadežan,2
prikladni,2
vaspitati,7
zateći,39
koješta,1
nanetiti,1
zakuneti,2
polazeti,6
grbom,2
brat-brat,1
vredeti,8
gutati,5
bezbrojan,1
nizok,12
prepoloviti,4
ruševina,4
očistiti,19
šampanjac,1
pesnica,4
cigla,3
vešal,1
motka,3
kaljuza,1
margina,6
definitivan,1
čitanje,11
milovan,13
brkić,2
prepričavanje,1
članak,1
talentovan,4
prepričavati,7
isečki,2
seckati,10
makazica,2
sveska,1
drmne,1
proučiti,10
sinon,10
ciklus,38
raspoložiti,1
otrcati,2
fraza,10
pesmica,2
linč,21
ndnv,1
dosrbljavati,1
vernik,5
zakitit,1
dobronamernost,2
zaključivati,1468
tajno,17
prozivka,31
pritisati,78
taster,88
jedinika,82
odlučivanje,189
prelasak,12
prozivki,15
131.,10
azbučan,9
odsutan,196
zapisovati,4
evidentirati,15
napominjati,25
avramov,2
andrijan,6
antić,25
antonijević,14
bajatović,56
dušan,119
živan,11
nebojša,87
nastasja,3
bandić,4
beloica,5
martać,5
božić,11
sandra,10
vojinović,4
vraneš,6
ljubica,8
vujadinović,29
milimir,26
vujičić,4
gnjidić,5
grgur,9
uglješ,41
gujon,11
arno,7
gurešić,5
davidovac,6
delić,46
denić,7
dinić,36
doc.,45
rastislav,32
dragišić,6
durgutović,7
edis,7
đerlek,18
edin,21
đokić,94
uroš,65
đorđić,38
đorđo,25
neven,30
đurišić,5
vesna,22
eraković,87
žarić,25
iren,62
zagrađanin,3
vladan,6
ivković,6
lepomir,6
sonja,57
ilić-stošić,2
jakovljević,105
janošević,6
stanislav,7
dalibor,38
jerinić,19
jefić,7
branković,7
sanja,20
jadranka,6
josifović,6
branislav,9
jugović,5
karanac,23
jasmino,48
kitanović,6
elvira,17
prof,28
kolundžija,6
koljević,5
grifi,1
kondić,5
kostov,11
risto,10
krstić,15
kučević,6
selma,5
laketić,5
prim.,4
linta,7
miodrag,19
šarkanović,14
lepojević,2
ksenija,49
topalović,51
matić,7
mijatović,47
milanović,24
slađan,59
milivojević,181
