word,frequency
zaletati,7
cirkus,51
kamera,37
prilika,820
uživo,16
gledati,503
dobitnik,10
oskara,9
oskar,29
ukrati,24
bulevar,30
pokrati,42
trstenik,51
milion,1315
evro,1644
opljačkati,31
preletanje,9
topljenje,4
tenk,57
postavljanje,32
granica,129
valjanje,2
sopstven,248
povraćak,2
čestitati,112
činiti,482
pogledati,312
izgledati,224
medij,535
uneti,51
razdor,10
retorika,37
nepodnošljiv,12
dozvoljavati,128
opozicija,1197
viditi,436
direktan,192
prenos,61
unositi,34
pokušavati,367
pripisati,3
jasno,474
glasno,25
izreći,64
isključivo,232
personam,2
najzad,43
kritikovati,116
postići,137
sjajan,39
graditi,580
kilometra,4
auto-putev,40
pruga,297
renovirati,23
škola,710
bolnica,194
podizati,90
plata,929
odvratan,21
ličan,256
uvreda,175
sposoban,63
pričati,2039
ideja,345
dobati,2
maksimum,15
ogovarati,2
vređati,123
dolaziti,640
aplauza,8
jednostavan,45
nalaziti,548
novinar,63
izlaziti,124
sednuti,26
izaći,389
pristojan,91
pohvaliti,69
duhovit,9
nestao,6
mada,71
vučević,398
čudan,20
dešavati,549
patriot,69
nestal,29
toplana,13
koperfild,3
mahnuti,1
nestati,50
vratiti,800
trenutak,631
izuzetno,328
težak,275
suočavati,84
spoljni,146
pritisac,47
otvoriti,414
neskriveno,2
pritisak,186
pojačati,27
sankcija,128
zemlja,2692
način,1745
uniziti,21
poniziti,21
oslabiti,15
izazov,188
metohije,189
zadatak,149
tema,1009
krenuti,428
pogro,14
naljutiti,12
usluga,225
rukav,3
brisel,45
strazbura,42
glasati,2061
ponovo,544
njihov,1385
rezolucija,190
kažnjavanje,11
ćutati,27
sramota,324
spomena,3
naterati,41
evropski,634
doneti,521
napisati,143
ovdašnji,1
potpisati,403
lobist,49
aljbina,62
kutija,29
deliti,112
miliji,1
važe,2
šenak,3
ekipa,33
tonino,3
picula,5
dignuti,15
ruka,299
kazna,80
teško,278
lako,237
istovremeno,107
godišnjica,20
ostajati,166
pogromu,1
kontekst,159
okolnost,191
poništiti,21
suverenitet,116
stranka,1185
suditi,47
presuđivati,3
tački,100
ultimatum,18
austrougarska,18
1914.,17
odbiti,68
svojevoljan,1
uplitanje,1
stranac,22
nekada,167
nametati,39
značiti,1695
nametnuti,35
stranca,12
boriti,555
šiner,1
šena,3
picolo,1
ostati,415
zakon,4957
donesiti,3
donositi,299
volšeban,6
jasan,349
odgovoriti,336
pošto,1247
